"Genotype" "predicted.value" "standard.error" "est.status"
"383" "F1F020M003" 0.253547048286034 0.0660645087218978 "Estimable"
"384" "F1F020M004" 0.363422407004831 0.0660682632267664 "Estimable"
"385" "F1F020M005" 0.234563246152461 0.0660582445948337 "Estimable"
"386" "F1F020M006" 0.271551270559157 0.0660645331968683 "Estimable"
"387" "F1F020M008" 0.296590193002005 0.0660498810807882 "Estimable"
"388" "F1F020M009" 0.326384640023196 0.0660683649738747 "Estimable"
"389" "F1F020M010" 0.359740088961194 0.0660051986663479 "Estimable"
"390" "F1F020M011" 0.212949107201758 0.0660684476582153 "Estimable"
"391" "F1F020M013" 0.304368761409338 0.0660589854566487 "Estimable"
"392" "F1F020M014" 0.326690019154159 0.0660584526658074 "Estimable"
"393" "F1F020M015" 0.294516368061781 0.0660551663523461 "Estimable"
"394" "F1F021M001" 0.324366004122788 0.0541236208015766 "Estimable"
"395" "F1F021M002" 0.388045243635548 0.0541254510233227 "Estimable"
"396" "F1F021M003" 0.271776263919066 0.0541257583661864 "Estimable"
"397" "F1F021M005" 0.334778696119108 0.0541238618293803 "Estimable"
"398" "F1F021M006" 0.430599288011327 0.0541264380430104 "Estimable"
